Func,runtime
findPoints , 0.05755
insertPoints , 1.4963
findPoints , 0.05652
insertPoints , 1.62015
findPoints , 0.05881
insertPoints , 1.59314
findPoints , 0.0571
insertPoints , 1.60799
findPoints , 0.07021
insertPoints , 1.52958
findPoints , 0.05525
insertPoints , 1.47667
findPoints , 0.06121
insertPoints , 1.52134
findPoints , 0.05529
insertPoints , 1.4699
findPoints , 0.05666
insertPoints , 1.49386
findPoints , 0.05586
insertPoints , 1.3974
findPoints , 0.05595
insertPoints , 1.51291
findPoints , 0.05838
insertPoints , 1.33193
findPoints , 0.05534
insertPoints , 1.32796
findPoints , 0.05616
insertPoints , 1.50484
findPoints , 0.0566
insertPoints , 1.4814
findPoints , 0.05529
insertPoints , 1.46537
findPoints , 0.05617
insertPoints , 1.50996
findPoints , 0.05657
insertPoints , 1.4748
findPoints , 0.05902
insertPoints , 1.40864
findPoints , 0.05356
insertPoints , 1.40156
findPoints , 0.05689
insertPoints , 1.46323
findPoints , 0.05656
insertPoints , 1.49985
findPoints , 0.05524
insertPoints , 1.397
findPoints , 0.0548
insertPoints , 1.46485
findPoints , 0.0559
insertPoints , 1.43742
findPoints , 0.05548
insertPoints , 1.63935
findPoints , 0.05606
insertPoints , 1.52041
findPoints , 0.0548
insertPoints , 1.46598
findPoints , 0.05633
insertPoints , 1.45199
findPoints , 0.05435
insertPoints , 1.42859
findPoints , 0.05798
insertPoints , 1.51981
findPoints , 0.0572
insertPoints , 1.92355
findPoints , 0.07394
insertPoints , 1.90357
findPoints , 0.0716
insertPoints , 1.71315
findPoints , 0.08484
insertPoints , 1.64512
findPoints , 0.05711
insertPoints , 1.53588
findPoints , 0.0731
insertPoints , 1.61794
findPoints , 0.07116
insertPoints , 1.67491
findPoints , 0.06998
insertPoints , 1.64329
findPoints , 0.05461
insertPoints , 1.46139
findPoints , 0.05658
insertPoints , 1.63288
findPoints , 0.07636
insertPoints , 1.71258
findPoints , 0.06587
insertPoints , 1.64698
findPoints , 0.06131
insertPoints , 1.62371
findPoints , 0.06909
insertPoints , 1.71415
findPoints , 0.06933
insertPoints , 1.71871
findPoints , 0.06592
insertPoints , 1.74443
findPoints , 0.08165
insertPoints , 1.82054
findPoints , 0.06407
